75,天堂电影院,"菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",1988-09-29(意大利),9.2
76,无间道,"刘德华,梁朝伟,黄秋生",2003/9/5,9.1
77,风之谷,"岛本须美,永井一郎,坂本千夏",5月-92,8.8
78,美丽心灵,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",2001-12-13(美国),8.8
79,小鞋子,"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",1997(伊朗),9.1
80,穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008-08-28(英国),9
81,这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",1994-09-14(法国),9.4
82,大闹天宫,"邱岳峰,毕克,富润生",1965/12/31,9
83,拯救大兵瑞恩,"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",1998/11/13,8.9
84,忠犬八公物语,"仲代达矢,春川真澄,井川比佐志",1987-08-01(日本),9
85,勇敢的心,"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995-05-18(美国),8.8
86,教父,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",2015/4/18,9.3
87,黑客帝国,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",2000/1/14,9
88,怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹•奎因",2010-07-26(美国),8.9
89,少年派的奇幻漂流,"苏拉·沙玛,伊尔凡·可汗,塔布",2012/11/22,9
90,阿飞正传,"张国荣,张曼玉,刘德华",2018/6/25,8.8
91,机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-06-27(美国),9.3
92,时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04(英国),8.8
93,神偷奶爸,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",2010-06-20(俄罗斯),8.9
94,恐怖直播,"河正宇,李璟荣,李大卫",2013-07-31(韩国),8.8
95,幽灵公主,"松田洋治,石田百合子,田中裕子",1998/5/1,8.9
96,鬼子来了,"姜文,姜宏波,陈强",2000-05-13(法国),8.9
97,教父2,"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",1974-12-12(美国),9
98,阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010/1/4,8.9
99,末代皇帝,"尊龙,陈冲,彼得·奥图尔",1987/10/23,8.8
100,加勒比海盗,"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",2003/11/21,8.9
